date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2023-12-08 22:00:00 MST",1702098000,94.16,102.49,WSW,26,18,0,74,-10.3,-6.5,-13,0,40200,0,0,0,0,0,-5.4,-7.7
"2023-12-08 21:00:00 MST",1702094400,94.17,102.51,WNW,29,17,0,71,-10.7,-6.3,-13,0,40200,2,0,0,0,0,-4.8,-6.6
"2023-12-08 20:00:00 MST",1702090800,94.17,102.51,NW,31,16,0,69,-10,-5.2,-11,0,40200,2,0,0,0,0,-3.4,-5.3
"2023-12-08 19:00:00 MST",1702087200,94.12,102.43,WSW,26,17,0,63,-9.5,-3.4,-9,0,40200,2,0,0,0,0,-2,-3.4
"2023-12-08 18:00:00 MST",1702083600,94.09,102.38,W,27,23,35,56,-9.4,-1.8,-8,0,40200,2,0,1,0,0,-1.4,-2.4
"2023-12-08 17:00:00 MST",1702080000,94.04,102.34,W,27,14,0,59,-9.3,-2.3,-7,0,40200,2.1,0,2,0,0,-0.9,-2.6
"2023-12-08 16:00:00 MST",1702076400,93.96,102.25,WSW,26,16,0,57,-8.4,-1,-6,0,40200,2,0,1,0,0,-0.1,-1
"2023-12-08 15:00:00 MST",1702072800,93.87,102.12,W,27,14,0,57,-7.6,-0.1,-4,0,40200,2.1,0,2,0,0,0.1,-0.5
"2023-12-08 14:00:00 MST",1702069200,93.86,102.11,W,27,15,0,57,-7.6,-0.2,-5,0,40200,2.2,0,2,0,0,-0.2,-1.9
"2023-12-08 13:00:00 MST",1702065600,93.8,102.06,WSW,25,13,0,64,-7.4,-1.5,-6,0,40200,2.2,0,4,0,0,-1.1,-3
"2023-12-08 12:00:00 MST",1702062000,93.77,102.04,WSW,26,13,0,77,-6.5,-3.1,-8,0,40200,2.5,0,8,0,0,-3.1,-8.4
"2023-12-08 11:00:00 MST",1702058400,93.77,102.09,NE,5,4,0,88,-10.3,-8.6,-11,0,40200,2.5,0,7,0,0,-8.6,-11.4
"2023-12-08 10:00:00 MST",1702054800,93.71,102.05,ENE,7,5,0,84,-13.6,-11.4,-15,0,40200,2.6,0,5,0,0,-11.2,-12.3
"2023-12-08 09:00:00 MST",1702051200,93.65,101.98,N,0,2,0,86,-14.3,-12.4,-14,0,40200,2.2,0,6,0,0,-12.4,-13.9
"2023-12-08 08:00:00 MST",1702047600,93.58,101.91,NE,5,5,0,85,-15.5,-13.4,-17,0,40230,1.9,0,7,0,0,-11.8,-13.8
"2023-12-08 07:00:00 MST",1702044000,93.55,101.86,N,0,0,0,82,-14.6,-12.2,0,0,40200,1.7,0,7,0,0,-10.7,-12.5
"2023-12-08 06:00:00 MST",1702040400,93.49,101.77,NW,32,5,0,86,-14.1,-12.3,-16,0,40200,1.8,0,6,0,0,-11.2,-13.3
"2023-12-08 05:00:00 MST",1702036800,93.42,101.68,WNW,30,4,0,86,-15,-13.2,-16,0,40200,1.9,0,6,0,0,-11.9,-13.4
"2023-12-08 04:00:00 MST",1702033200,93.4,101.65,N,35,7,0,86,-15.3,-13.4,-18,0,40200,1.9,0,6,0,0,-11.3,-13.4
"2023-12-08 03:00:00 MST",1702029600,93.33,101.54,N,0,3,0,88,-13.1,-11.5,-13,0,40200,1.8,0,5,0,0,-10.2,-11.6
"2023-12-08 02:00:00 MST",1702026000,93.29,101.5,SSW,20,6,0,89,-12.7,-11.3,-15,0,40200,1.8,0,6,0,0,-10.5,-12
"2023-12-08 01:00:00 MST",1702022400,93.26,101.47,S,18,5,0,89,-12.7,-11.3,-14,0,40200,1.9,0,6,0,0,-10.8,-11.6
"2023-12-08 00:00:00 MST",1702018800,93.24,101.47,WNW,30,7,0,89,-12.7,-11.3,-16,0,40200,2.1,0,6,0,0,-11,-12.9
"2023-12-07 23:00:00 MST",1702015200,93.17,101.43,NNW,34,5,0,89,-12.9,-11.4,-15,0,40200,2.4,0,5,0,0,-11.1,-12.6
